Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
camoguard-3-lens-motorcycle-riding-goggles-with-interchangeable-lens-colors,Lunettes de moto à 3 lentilles avec verres interchangeables,"<h2>CamoGuard 3-Lens Motorcycle Riding Goggles</h2>
<p>Les lunettes de moto CamoGuard à 3 verres interchangeables sont conçues pour les motards exigeant polyvalence, protection et confort. Avec des verres interchangeables disponibles en marron, jaune et transparent, ces lunettes garantissent une visibilité optimale dans diverses conditions de conduite.</p>
<p>L'inclusion d'un cadre pour myopie les rend idéales pour les porteurs de lunettes correctrices qui ont besoin d'une vision claire sans compromettre la sécurité. Ce qui distingue ces lunettes des concurrents, c'est leur combinaison de protection UV, leur construction durable et leur compatibilité avec tous les types de casques.</p>
<ul>
<li>🌞 <strong>Visibilité Polyvalente :</strong> Le système de verres interchangeables permet aux motards de passer entre des verres marron, jaunes et transparents selon les conditions d'éclairage.</li>
<li>🕶️ <strong>Sécurité contre les Rayons UV :</strong> La certification UV400 garantit que les yeux du conducteur sont protégés contre les rayons ultraviolets nocifs.</li>
<li>🏍️ <strong>Durabilité et Confort :</strong> Fabriquées à partir de matériaux légers mais résistants, ces lunettes offrent un confort durable lors des trajets prolongés.</li>
<li>💨 <strong>Protection contre les Éléments :</strong> Les caractéristiques coupe-vent et anti-poussière protègent les yeux du conducteur contre les débris et les intempéries.</li>
<li>🔒 <strong>Ajustement Universel :</strong> Conçues pour être compatibles avec tous types de casques pour un ajustement sécurisé.</li>
<li>👓 <strong>Vision Claire pour Porteurs de Lunettes Correctrices :</strong> Le cadre pour myopie permet d'accommoder des verres correcteurs, permettant aux utilisateurs de maintenir une vision claire pendant la conduite.</li>
</ul>
<h2>Caractéristiques du Produit :</h2>
<ul>
<li>
<b>Lunettes:</b> CamoGuard à 3 verres interchangeables</li>
<li>
<b>Couleurs des Verres:</b> Marron, Jaune, Transparent (Interchangeables)</li>
<li>
<b>Protection UV:</b> Certifiée UV400</li>
<li>
<b>Matière:</b> Matériaux légers mais durables</li>
<li>
<b>Ajustement: </b>Élastique ajustable</li>
</ul>
<h3>Ce qui est inclus :</h3>
<ul>
<li transparent="""" jaune="""" interchangeables="""" verres="""">x1 Paire de Lunette</li>
<li transparent="""" jaune="""" interchangeables="""" verres="""">x3 verres interchangeables</li>
</ul>",Mode et Style,,Motorcycle Goggles,Motorcycle Sunglasses,true,Title,Default Title,,,,,,,,14:201450919#Camo Glasses Set,0.0,shopify,100,continue,manual,19.50,,true,false,,https://cdn.shopify.com/s/files/1/0920/2581/5423/files/1_a8995a53-e0eb-4aca-9ba6-6598455b76ac.jpg?v=1748096873,1,"",false,,,,,,,,,,,,,,,kg,,,active
camoguard-3-lens-motorcycle-riding-goggles-with-interchangeable-lens-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/2581/5423/files/4_78848257-9e80-4ba3-9e31-eb2f1983b3b7.jpg?v=1748096873,2,"",,,,,,,,,,,,,,,,,,,
camoguard-3-lens-motorcycle-riding-goggles-with-interchangeable-lens-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/2581/5423/files/3_c91180d6-f845-45e6-b56d-c713f7749f57.jpg?v=1748096873,3,"",,,,,,,,,,,,,,,,,,,
camoguard-3-lens-motorcycle-riding-goggles-with-interchangeable-lens-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/2581/5423/files/2_a6821c48-77b4-4f8e-b7bd-9fc24bf8bcee.jpg?v=1748096873,4,"",,,,,,,,,,,,,,,,,,,
camoguard-3-lens-motorcycle-riding-goggles-with-interchangeable-lens-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/2581/5423/files/5_17898c54-f2b1-4d34-972c-37e5822d6324.jpg?v=1748096873,5,"",,,,,,,,,,,,,,,,,,,
outlaw-polarized-motorcycle-sunglasses,Lunettes de moto polarisées,"<h2>Lunettes de Soleil Polarisées pour Motocyclistes</h2>
<p>Les Lunettes de Soleil Polarisées pour Motocyclistes sont conçues spécifiquement pour les motards en quête de style et de fonctionnalité. Ces lunettes offrent une réduction supérieure des reflets et une protection UV, assurant une vision claire et un confort inégalé pendant vos trajets.</p>
<p>Ce qui les distingue des concurrents, c'est leur combinaison unique de verres polarisés, de monture durable et de design élégant adapté aux rigueurs du motocyclisme.</p>
<ul>
<li>🕶️ <strong>Clarté Visuelle Améliorée :</strong> Les verres polarisés réduisent considérablement les reflets des surfaces réfléchissantes comme les routes et l'eau.</li>
<li>☀️ <strong>Protection Oculaire :</strong> Offre une protection complète contre les rayons UV nocifs, prévenant ainsi tout dommage potentiel aux yeux.</li>
<li>🏍️ <strong>Durabilité :</strong> La monture robuste peut supporter les défis rencontrés lors des activités motocyclistes.</li>
<li>👓 <strong>Confortable à Porter :</strong> Léger et ergonomiquement conçu pour assurer un confort même lors d'une utilisation prolongée.</li>
<li>🔒 <strong>Longévité :</strong> Les caractéristiques résistantes aux impacts et aux rayures garantissent que les lunettes restent fiables dans le temps.</li>
<li>✨ <strong>Apparence Stylée :</strong> Offre un look audacieux et moderne qui complète l'équipement de tout motard.</li>
</ul>
<h3>Caractéristiques du Produit :</h3>
<ul>
<li>
<strong>Taille :</strong> Ajustement standard</li>
<li>
<strong>Poids :</strong> Conception légère</li>
<li>
<strong>Matières Utilisées :</strong> Monture en plastique haute durabilité, verres en polycarbonate</li>
<li style=""font-weight: bold;""><strong> Verres polarisés pour réduire les reflets</strong></li>
<li style=""font-weight: bold;""><strong> Protection UV à 100%</strong></li>
<li style=""font-weight: bold;""><strong> Revêtement résistant aux impacts et aux rayures sur les verres</strong></li>
</ul>
<h3>Ce qui est inclus :</h3>
<ul>
<li><span class=""emoji"">Une paire de lunette de la couleur choisie</span></li>
</ul>",Mode et Style,Uncategorized,Motorcycle Sunglasses,Motorcycle Sunglasses,true,Couleur,Noir,,,,,,,,73:175#C1Black,0.0,shopify,100,continue,manual,19.50,,true,false,,https://cdn.shopify.com/s/files/1/0920/2581/5423/files/description_images__10_aa83be4a-83c4-4a63-9575-e55470dea7f7.jpg?v=1748096828,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/2581/5423/files/description_images__10_aa83be4a-83c4-4a63-9575-e55470dea7f7.jpg?v=1748096828,kg,,,active
outlaw-polarized-motorcycle-sunglasses,,,,,,,,,Violet,,,,,,,,73:29#C6Mirror Purple,0.0,shopify,100,continue,manual,19.50,,true,false,,https://cdn.shopify.com/s/files/1/0920/2581/5423/files/description_images__19_2a76cbab-bc93-4891-b058-55641bffdb4f.jpg?v=1748096828,2,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/2581/5423/files/description_images__25_29a85117-3d5d-42e4-bc0f-474917f44d73.jpg?v=1748096828,kg,,,
outlaw-polarized-motorcycle-sunglasses,,,,,,,,,Bleu,,,,,,,,73:193#C7Mirror Blue,0.0,shopify,100,continue,manual,19.50,,true,false,,https://cdn.shopify.com/s/files/1/0920/2581/5423/files/description_images__25_29a85117-3d5d-42e4-bc0f-474917f44d73.jpg?v=1748096828,3,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/2581/5423/files/description_images__28.jpg?v=1748096828,kg,,,
outlaw-polarized-motorcycle-sunglasses,,,,,,,,,Rouge,,,,,,,,73:366#C4Mirror Red,0.0,shopify,100,continue,manual,19.50,,true,false,,https://cdn.shopify.com/s/files/1/0920/2581/5423/files/description_images__28.jpg?v=1748096828,4,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/2581/5423/files/description_images__19_2a76cbab-bc93-4891-b058-55641bffdb4f.jpg?v=1748096828,kg,,,
outlaw-polarized-motorcycle-sunglasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/2581/5423/files/right_click_image__dbd25367-51b4-4b85-b872-eaab1d44411b.jpg?v=1748096828,5,"",,,,,,,,,,,,,,,,,,,
